Season,Trend Item,Category,Color,Fabric,Previous Popularity,Social Buzz,Trend Score
SS21,Denim Mini Skirt,Bottom,Blue,Denim,9.0,84,8.7
SS21,Leather Trench Coat,Outerwear,Brown,Leather,7.0,58,6.4
SS21,Crochet Top,Top,White,Cotton,5.3,78,6.8
SS21,Cargo Pants,Bottom,Green,Cotton,7.4,38,6.1
SS21,Oversized Blazer,Outerwear,Black,Wool,5.4,52,5.7
SS21,Satin Slip Dress,Dress,Red,Satin,7.2,23,5.2
SS21,Platform Boots,Shoes,Black,Leather,8.0,25,5.4
SS21,Bucket Hat,Accessory,Beige,Canvas,4.4,81,6.5
SS21,Puffer Jacket,Outerwear,White,Polyester,7.5,45,5.9
SS21,Maxi Skirt,Bottom,Navy,Silk,8.9,49,6.8
SS21,Knit Vest,Top,Grey,Wool,5.6,90,7.1
SS21,Sheer Blouse,Top,Cream,Silk,8.0,60,6.6
SS21,Tulle Skirt,Bottom,Pink,Tulle,4.4,46,4.6
SS21,Ballet Flats,Shoes,Blush,Leather,6.6,58,6.3
SS21,Techwear Jacket,Outerwear,Charcoal,Nylon,9.3,32,6.1
SS21,Denim Jumpsuit,One-piece,Indigo,Denim,8.9,41,7.2
SS21,Sequin Crop Top,Top,Silver,Sequin,8.4,80,8.6
SS21,Faux Fur Coat,Outerwear,Ivory,Faux Fur,4.1,82,6.2
SS21,Wide-Leg Trousers,Bottom,Camel,Linen,4.5,28,3.7
SS21,Statement Belt,Accessory,Gold,Metal,4.1,63,5.2
FW21,Denim Mini Skirt,Bottom,Blue,Denim,4.4,39,4.2
FW21,Leather Trench Coat,Outerwear,Brown,Leather,6.8,32,5.1
FW21,Crochet Top,Top,White,Cotton,4.5,23,4.0
FW21,Cargo Pants,Bottom,Green,Cotton,8.4,34,6.2
FW21,Oversized Blazer,Outerwear,Black,Wool,7.7,74,7.6
FW21,Satin Slip Dress,Dress,Red,Satin,5.3,20,3.3
FW21,Platform Boots,Shoes,Black,Leather,4.9,42,4.2
FW21,Bucket Hat,Accessory,Beige,Canvas,8.7,53,7.3
FW21,Puffer Jacket,Outerwear,White,Polyester,4.7,67,5.7
FW21,Maxi Skirt,Bottom,Navy,Silk,4.5,76,6.2
FW21,Knit Vest,Top,Grey,Wool,5.8,32,4.4
FW21,Sheer Blouse,Top,Cream,Silk,7.4,76,7.7
FW21,Tulle Skirt,Bottom,Pink,Tulle,6.4,75,7.4
FW21,Ballet Flats,Shoes,Blush,Leather,6.9,57,6.8
FW21,Techwear Jacket,Outerwear,Charcoal,Nylon,8.2,76,7.6
FW21,Denim Jumpsuit,One-piece,Indigo,Denim,9.5,45,7.0
FW21,Sequin Crop Top,Top,Silver,Sequin,7.5,46,6.6
FW21,Faux Fur Coat,Outerwear,Ivory,Faux Fur,6.2,38,5.4
FW21,Wide-Leg Trousers,Bottom,Camel,Linen,9.3,21,6.1
FW21,Statement Belt,Accessory,Gold,Metal,9.5,83,8.6
SS22,Denim Mini Skirt,Bottom,Blue,Denim,4.8,27,3.6
SS22,Leather Trench Coat,Outerwear,Brown,Leather,8.9,91,9.1
SS22,Crochet Top,Top,White,Cotton,8.2,57,7.1
SS22,Cargo Pants,Bottom,Green,Cotton,7.4,43,5.9
SS22,Oversized Blazer,Outerwear,Black,Wool,4.0,91,6.7
SS22,Satin Slip Dress,Dress,Red,Satin,3.5,45,4.3
SS22,Platform Boots,Shoes,Black,Leather,5.5,64,6.1
SS22,Bucket Hat,Accessory,Beige,Canvas,3.6,74,5.2
SS22,Puffer Jacket,Outerwear,White,Polyester,7.5,29,5.3
SS22,Maxi Skirt,Bottom,Navy,Silk,7.8,28,5.7
SS22,Knit Vest,Top,Grey,Wool,7.4,60,7.2
SS22,Sheer Blouse,Top,Cream,Silk,3.6,62,5.3
SS22,Tulle Skirt,Bottom,Pink,Tulle,3.8,46,4.3
SS22,Ballet Flats,Shoes,Blush,Leather,5.1,92,7.2
SS22,Techwear Jacket,Outerwear,Charcoal,Nylon,4.7,43,4.4
SS22,Denim Jumpsuit,One-piece,Indigo,Denim,9.2,98,9.5
SS22,Sequin Crop Top,Top,Silver,Sequin,4.7,83,6.4
SS22,Faux Fur Coat,Outerwear,Ivory,Faux Fur,9.3,26,6.1
SS22,Wide-Leg Trousers,Bottom,Camel,Linen,4.8,87,6.5
SS22,Statement Belt,Accessory,Gold,Metal,5.0,55,5.5
FW22,Denim Mini Skirt,Bottom,Blue,Denim,5.9,73,6.6
FW22,Leather Trench Coat,Outerwear,Brown,Leather,7.9,97,8.8
FW22,Crochet Top,Top,White,Cotton,6.1,92,7.0
FW22,Cargo Pants,Bottom,Green,Cotton,3.6,53,3.9
FW22,Oversized Blazer,Outerwear,Black,Wool,6.5,86,7.5
FW22,Satin Slip Dress,Dress,Red,Satin,6.0,86,7.6
FW22,Platform Boots,Shoes,Black,Leather,9.5,72,8.4
FW22,Bucket Hat,Accessory,Beige,Canvas,8.4,66,7.4
FW22,Puffer Jacket,Outerwear,White,Polyester,4.0,50,4.3
FW22,Maxi Skirt,Bottom,Navy,Silk,4.7,100,7.1
FW22,Knit Vest,Top,Grey,Wool,3.8,64,4.8
FW22,Sheer Blouse,Top,Cream,Silk,5.5,46,4.7
FW22,Tulle Skirt,Bottom,Pink,Tulle,5.5,22,3.6
FW22,Ballet Flats,Shoes,Blush,Leather,5.5,67,6.4
FW22,Techwear Jacket,Outerwear,Charcoal,Nylon,8.0,60,6.8
FW22,Denim Jumpsuit,One-piece,Indigo,Denim,4.5,31,3.4
FW22,Sequin Crop Top,Top,Silver,Sequin,6.7,20,4.2
FW22,Faux Fur Coat,Outerwear,Ivory,Faux Fur,4.8,30,3.9
FW22,Wide-Leg Trousers,Bottom,Camel,Linen,7.4,24,5.3
FW22,Statement Belt,Accessory,Gold,Metal,5.6,37,5.2
SS23,Denim Mini Skirt,Bottom,Blue,Denim,8.0,95,9.1
SS23,Leather Trench Coat,Outerwear,Brown,Leather,5.3,75,6.0
SS23,Crochet Top,Top,White,Cotton,3.9,92,5.9
SS23,Cargo Pants,Bottom,Green,Cotton,4.4,51,5.0
SS23,Oversized Blazer,Outerwear,Black,Wool,6.5,70,6.8
SS23,Satin Slip Dress,Dress,Red,Satin,5.9,77,6.6
SS23,Platform Boots,Shoes,Black,Leather,5.1,54,5.3
SS23,Bucket Hat,Accessory,Beige,Canvas,6.3,76,6.7
SS23,Puffer Jacket,Outerwear,White,Polyester,7.5,74,7.4
SS23,Maxi Skirt,Bottom,Navy,Silk,7.5,96,8.8
SS23,Knit Vest,Top,Grey,Wool,7.6,65,7.1
SS23,Sheer Blouse,Top,Cream,Silk,5.8,50,5.8
SS23,Tulle Skirt,Bottom,Pink,Tulle,7.1,21,5.0
SS23,Ballet Flats,Shoes,Blush,Leather,5.6,20,4.1
SS23,Techwear Jacket,Outerwear,Charcoal,Nylon,5.4,41,4.6
SS23,Denim Jumpsuit,One-piece,Indigo,Denim,3.5,76,5.2
SS23,Sequin Crop Top,Top,Silver,Sequin,7.0,60,6.6
SS23,Faux Fur Coat,Outerwear,Ivory,Faux Fur,9.1,100,9.7
SS23,Wide-Leg Trousers,Bottom,Camel,Linen,4.2,51,5.1
SS23,Statement Belt,Accessory,Gold,Metal,8.9,70,7.6
FW23,Denim Mini Skirt,Bottom,Blue,Denim,4.4,35,3.5
FW23,Leather Trench Coat,Outerwear,Brown,Leather,8.1,32,5.7
FW23,Crochet Top,Top,White,Cotton,8.9,27,6.6
FW23,Cargo Pants,Bottom,Green,Cotton,5.4,63,5.6
FW23,Oversized Blazer,Outerwear,Black,Wool,8.2,37,6.6
FW23,Satin Slip Dress,Dress,Red,Satin,4.2,27,3.2
FW23,Platform Boots,Shoes,Black,Leather,5.8,59,6.0
FW23,Bucket Hat,Accessory,Beige,Canvas,4.9,77,5.9
FW23,Puffer Jacket,Outerwear,White,Polyester,5.9,70,6.7
FW23,Maxi Skirt,Bottom,Navy,Silk,9.4,71,7.9
FW23,Knit Vest,Top,Grey,Wool,7.6,48,6.2
FW23,Sheer Blouse,Top,Cream,Silk,5.1,80,6.8
FW23,Tulle Skirt,Bottom,Pink,Tulle,7.7,43,6.1
FW23,Ballet Flats,Shoes,Blush,Leather,5.8,76,6.4
FW23,Techwear Jacket,Outerwear,Charcoal,Nylon,8.9,50,7.0
FW23,Denim Jumpsuit,One-piece,Indigo,Denim,6.7,72,6.9
FW23,Sequin Crop Top,Top,Silver,Sequin,9.4,75,8.6
FW23,Faux Fur Coat,Outerwear,Ivory,Faux Fur,4.9,99,6.9
FW23,Wide-Leg Trousers,Bottom,Camel,Linen,4.4,83,5.9
FW23,Statement Belt,Accessory,Gold,Metal,8.5,35,5.8
SS24,Denim Mini Skirt,Bottom,Blue,Denim,6.4,28,4.6
SS24,Leather Trench Coat,Outerwear,Brown,Leather,6.9,20,4.2
SS24,Crochet Top,Top,White,Cotton,3.7,94,6.4
SS24,Cargo Pants,Bottom,Green,Cotton,6.3,75,6.4
SS24,Oversized Blazer,Outerwear,Black,Wool,7.6,30,5.8
SS24,Satin Slip Dress,Dress,Red,Satin,8.7,28,6.4
SS24,Platform Boots,Shoes,Black,Leather,7.5,74,7.7
SS24,Bucket Hat,Accessory,Beige,Canvas,6.0,72,6.7
SS24,Puffer Jacket,Outerwear,White,Polyester,5.4,96,7.6
SS24,Maxi Skirt,Bottom,Navy,Silk,8.2,75,8.0
SS24,Knit Vest,Top,Grey,Wool,3.8,78,5.8
SS24,Sheer Blouse,Top,Cream,Silk,3.5,75,5.3
SS24,Tulle Skirt,Bottom,Pink,Tulle,4.7,73,6.0
SS24,Ballet Flats,Shoes,Blush,Leather,9.2,84,8.7
SS24,Techwear Jacket,Outerwear,Charcoal,Nylon,6.7,100,8.6
SS24,Denim Jumpsuit,One-piece,Indigo,Denim,4.8,31,4.1
SS24,Sequin Crop Top,Top,Silver,Sequin,6.0,76,6.9
SS24,Faux Fur Coat,Outerwear,Ivory,Faux Fur,5.9,92,7.6
SS24,Wide-Leg Trousers,Bottom,Camel,Linen,6.0,90,7.2
SS24,Statement Belt,Accessory,Gold,Metal,6.5,67,6.4
FW24,Denim Mini Skirt,Bottom,Blue,Denim,4.1,29,3.6
FW24,Leather Trench Coat,Outerwear,Brown,Leather,7.2,48,6.1
FW24,Crochet Top,Top,White,Cotton,6.1,70,6.6
FW24,Cargo Pants,Bottom,Green,Cotton,8.3,97,8.7
FW24,Oversized Blazer,Outerwear,Black,Wool,8.9,37,6.5
FW24,Satin Slip Dress,Dress,Red,Satin,5.4,41,4.9
FW24,Platform Boots,Shoes,Black,Leather,7.3,42,6.1
FW24,Bucket Hat,Accessory,Beige,Canvas,5.5,47,5.4
FW24,Puffer Jacket,Outerwear,White,Polyester,8.2,38,6.4
FW24,Maxi Skirt,Bottom,Navy,Silk,6.1,56,5.8
FW24,Knit Vest,Top,Grey,Wool,9.1,92,9.3
FW24,Sheer Blouse,Top,Cream,Silk,4.5,64,5.8
FW24,Tulle Skirt,Bottom,Pink,Tulle,4.3,39,4.0
FW24,Ballet Flats,Shoes,Blush,Leather,9.2,56,8.0
FW24,Techwear Jacket,Outerwear,Charcoal,Nylon,9.3,95,9.0
FW24,Denim Jumpsuit,One-piece,Indigo,Denim,4.8,22,3.7
FW24,Sequin Crop Top,Top,Silver,Sequin,9.4,75,8.3
FW24,Faux Fur Coat,Outerwear,Ivory,Faux Fur,4.1,56,4.5
FW24,Wide-Leg Trousers,Bottom,Camel,Linen,8.8,85,8.7
FW24,Statement Belt,Accessory,Gold,Metal,4.9,79,6.1
SS25,Denim Mini Skirt,Bottom,Blue,Denim,5.8,35,4.4
SS25,Leather Trench Coat,Outerwear,Brown,Leather,3.9,22,3.1
SS25,Crochet Top,Top,White,Cotton,9.0,74,7.8
SS25,Cargo Pants,Bottom,Green,Cotton,7.6,51,6.8
SS25,Oversized Blazer,Outerwear,Black,Wool,6.8,94,8.3
SS25,Satin Slip Dress,Dress,Red,Satin,6.7,56,6.6
SS25,Platform Boots,Shoes,Black,Leather,8.6,94,9.1
SS25,Bucket Hat,Accessory,Beige,Canvas,3.6,42,4.2
SS25,Puffer Jacket,Outerwear,White,Polyester,5.0,31,3.8
SS25,Maxi Skirt,Bottom,Navy,Silk,7.4,78,8.0
SS25,Knit Vest,Top,Grey,Wool,4.1,65,5.2
SS25,Sheer Blouse,Top,Cream,Silk,7.3,40,6.3
SS25,Tulle Skirt,Bottom,Pink,Tulle,6.6,31,5.5
SS25,Ballet Flats,Shoes,Blush,Leather,8.3,45,6.1
SS25,Techwear Jacket,Outerwear,Charcoal,Nylon,7.6,30,5.7
SS25,Denim Jumpsuit,One-piece,Indigo,Denim,5.2,23,4.2
SS25,Sequin Crop Top,Top,Silver,Sequin,7.1,91,8.0
SS25,Faux Fur Coat,Outerwear,Ivory,Faux Fur,5.1,60,5.7
SS25,Wide-Leg Trousers,Bottom,Camel,Linen,3.8,59,5.1
SS25,Statement Belt,Accessory,Gold,Metal,8.2,82,8.0
